positive\EM0153.jpg
33.45;2021-05-14 20:28:49.0
33.45;2021-05-14 20:28:49.0
33.45;2021-05-14 20:28:49.0
33.45;2021-05-14 20:28:49.0
33.45;2021-05-14 20:28:50.0
33.45;2021-05-14 20:28:50.0
33.45;2021-05-14 20:28:50.0
33.45;2021-05-14 20:28:50.0
33.45;2021-05-14 20:28:51.0
33.45;2021-05-14 20:28:51.0
33.45;2021-05-14 20:28:51.0
33.45;2021-05-14 20:28:51.0
33.43;2021-05-14 20:28:52.0
33.43;2021-05-14 20:28:52.0
33.43;2021-05-14 20:28:52.0
33.43;2021-05-14 20:28:52.0
33.45;2021-05-14 20:28:53.0
33.45;2021-05-14 20:28:53.0
33.45;2021-05-14 20:28:53.0
33.45;2021-05-14 20:28:53.0
33.43;2021-05-14 20:28:54.0
33.43;2021-05-14 20:28:54.0
33.43;2021-05-14 20:28:54.0
33.43;2021-05-14 20:28:54.0
33.45;2021-05-14 20:28:55.0
33.45;2021-05-14 20:28:55.0
33.45;2021-05-14 20:28:55.0
33.45;2021-05-14 20:28:55.0
33.47;2021-05-14 20:28:56.0
33.47;2021-05-14 20:28:56.0
33.47;2021-05-14 20:28:56.0
33.47;2021-05-14 20:28:56.0
33.47;2021-05-14 20:28:57.0
33.47;2021-05-14 20:28:57.0
33.47;2021-05-14 20:28:57.0
33.47;2021-05-14 20:28:57.0
33.45;2021-05-14 20:28:58.0
33.45;2021-05-14 20:28:58.0
33.45;2021-05-14 20:28:58.0
33.45;2021-05-14 20:28:58.0
33.49;2021-05-14 20:28:59.0
33.49;2021-05-14 20:28:59.0
33.49;2021-05-14 20:28:59.0
33.49;2021-05-14 20:28:59.0
33.47;2021-05-14 20:29:00.0
33.47;2021-05-14 20:29:00.0
33.47;2021-05-14 20:29:00.0
33.47;2021-05-14 20:29:00.0
33.49;2021-05-14 20:29:01.0
33.49;2021-05-14 20:29:01.0
33.49;2021-05-14 20:29:01.0
33.49;2021-05-14 20:29:01.0
33.47;2021-05-14 20:29:02.0
33.47;2021-05-14 20:29:02.0
33.47;2021-05-14 20:29:02.0
33.47;2021-05-14 20:29:02.0
33.47;2021-05-14 20:29:03.0
33.47;2021-05-14 20:29:03.0
33.47;2021-05-14 20:29:03.0
33.47;2021-05-14 20:29:03.0
33.49;2021-05-14 20:29:04.0
33.49;2021-05-14 20:29:04.0
33.49;2021-05-14 20:29:04.0
33.49;2021-05-14 20:29:04.0
33.47;2021-05-14 20:29:05.0
